Date;MeanTemp;Max;Min
11.10.2019;11.7;12.5;11.1
10.10.2019;11.7;12.2;11.5
09.10.2019;12.2;12.6;11.9
08.10.2019;11.6;12.3;11
07.10.2019;11.8;12.1;11.4
06.10.2019;11.2;11.7;10.9
05.10.2019;11.9;12.2;11.6
04.10.2019;11.9;12.4;11.4
03.10.2019;13;13.8;12.4
02.10.2019;14.5;15.2;13.9
01.10.2019;14.7;15.3;14
30.09.2019;14.7;15;14.4
29.09.2019;14.2;14.8;13.6
28.09.2019;14.5;15;14
27.09.2019;14.5;15.3;13.8
26.09.2019;14.3;14.8;13.9
25.09.2019;14.6;15;14
24.09.2019;14.3;14.8;13.6
23.09.2019;14.1;14.4;13.9
22.09.2019;13.6;14.2;12.9
21.09.2019;13.3;14.3;12.2
20.09.2019;13.5;14.2;12.4
19.09.2019;14.2;15.1;13.4
18.09.2019;15.6;16.4;14.9
17.09.2019;16.7;17.2;16
16.09.2019;16.4;17.7;15.4
15.09.2019;15.6;16.7;14.4
14.09.2019;15.6;16.7;14.6
13.09.2019;16;17.1;14.9
12.09.2019;15.7;17;14.5
11.09.2019;14.7;15.8;13.5
10.09.2019;13.7;14.6;12.8
09.09.2019;13.2;13.5;13
08.09.2019;13.9;14.5;13.5
07.09.2019;14.7;15.1;14.3
06.09.2019;15.1;15.4;14.8
05.09.2019;16.1;17;15.4
04.09.2019;16.5;17.7;15.3
03.09.2019;16.1;16.9;15.3
02.09.2019;17.1;17.8;16.4
01.09.2019;17.5;18.3;16.5
31.08.2019;17.4;18.4;16.3
30.08.2019;17.6;18.9;16.5
29.08.2019;17.8;18.7;16.7
28.08.2019;17.9;18.9;16.5
27.08.2019;17.7;18.9;16.2
26.08.2019;17.5;18.8;16.2
25.08.2019;16.7;17.4;15.8
24.08.2019;16.2;17.3;15.2
23.08.2019;15.6;17;14.6
22.08.2019;15.5;16;15
21.08.2019;15.9;16.2;15.3
20.08.2019;17.3;18.1;16.2
19.08.2019;17.6;18.1;16.9
18.08.2019;16.8;18.1;15.7
17.08.2019;16.3;16.9;15.7
16.08.2019;16.2;17.3;15.5
15.08.2019;15.9;16.3;15.7
14.08.2019;16.5;17.2;15.8
13.08.2019;16.9;18.1;16.2
12.08.2019;18.6;18.8;18.1
11.08.2019;17.6;18.7;16.8
10.08.2019;18;18.9;17.4
09.08.2019;18.2;19.6;16.8
08.08.2019;17.2;18.6;16.2
07.08.2019;17.4;18.2;16.7
06.08.2019;18.3;18.9;17.6
05.08.2019;18.1;19.4;17.1
04.08.2019;16.9;17.8;16
03.08.2019;16.9;18;16.3
02.08.2019;18.5;19.2;17.7
01.08.2019;17.5;18.8;16.3
31.07.2019;17.6;18;16.8
30.07.2019;17;18.2;15.8
29.07.2019;16.8;18.6;15.7
28.07.2019;19.1;19.7;18.6
27.07.2019;20.3;21.1;19.7
